f1_score_train,prec_score_train,rec_score_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,spec_score_test,train_dev,test_dev
0.9988921319010081,0.9988938537754086,0.9988924859430908,0.9996964725501922,0.5236663952109847,0.5619612543544841,0.5288032646863433,0.8808267661087348,[30],[18]
0.9989986329331054,0.9989995866296643,0.9989984141557466,0.9997191956413392,0.6333721203177768,0.6336568625179606,0.6404634878292764,0.9030923204891602,[23],[20]
0.9998262643602867,0.9998262943042044,0.9998262682418346,0.9999546623937899,0.5475049174126599,0.5463833584759138,0.5557130942452043,0.8855444107271426,[25],[22]
0.9995012162593494,0.9995017112731944,0.9995012054202345,0.9998635211631128,0.6364275887496519,0.664253253303702,0.6357566146398465,0.9046702975062398,[24],[23]
0.9989986329331054,0.9989995866296643,0.9989984141557466,0.9997191956413392,0.5952118434158807,0.619954861484425,0.6147643195610608,0.89727642360214,[23],[24]
0.9998331949278721,0.9998332995687784,0.9998331943286072,0.9999546588075265,0.5193008105479539,0.5231099150430926,0.5379603891591382,0.8800648320371062,[22],[25]
0.9988921319010081,0.9988938537754086,0.9988924859430908,0.9996964725501922,0.5940783948607781,0.6063784655786479,0.5955863913734013,0.8940375688771802,[30],[28]
0.999430664470599,0.9994312580326812,0.9994305779633672,0.999848958277866,0.4883585621616168,0.5293164806975784,0.5020446413358324,0.8725196471776269,[18],[30]
0.9988921319010081,0.9988938537754086,0.9988924859430908,0.9996964725501922,0.587287771433522,0.5994281974423061,0.5919617385467361,0.893525412537187,[30],[33]
0.9998304510003391,0.9998304510003391,0.9998304510003391,0.9999558063596197,0.5870795164312091,0.5954605405902974,0.6013851802403204,0.8967479495799241,[35],[34]
0.9994993762447121,0.9995001954152026,0.9994993324432577,0.9998589728522742,0.590560692645819,0.623456348265382,0.6086809087826381,0.8971314939923033,[34],[35]
0.9995012162593494,0.9995017112731944,0.9995012054202345,0.9998635211631128,0.6247365177210101,0.6410820254516286,0.6219720846465556,0.902506051976896,[24],[37]
